Payment_Name,SM_Transmission_Date_ACH_File__c,Amount,Source_File
PY-01539341,2024-02-08,104.81,ACH_20240208.csv
PY-01539350,2024-02-08,88.09,ACH_20240208.csv
PY-01539612,2024-01-29,88.09,ACH_20240129.csv
PY-01539615,2024-02-08,76.94,ACH_20240208.csv
PY-01539627,2023-12-12,76.94,ACH_20231212.csv
PY-01539628,2023-12-12,76.94,ACH_20231212.csv
PY-01539629,2023-12-12,76.94,ACH_20231212.csv
PY-01539630,2024-02-08,76.94,ACH_20240208.csv
PY-01539631,2024-02-08,44.03,ACH_20240208.csv
PY-01539632,2023-12-12,83.63,ACH_20231212.csv
PY-01539633,2023-12-12,121.54,ACH_20231212.csv
PY-01539673,2023-12-13,88.09,ACH_20231213.csv
PY-01539674,2023-12-13,88.09,ACH_20231213.csv
PY-01539675,2023-12-13,54.64,ACH_20231213.csv
PY-01539676,2023-12-13,83.63,ACH_20231213.csv
PY-01539677,2023-12-13,83.63,ACH_20231213.csv
PY-01539678,2023-12-13,76.94,ACH_20231213.csv
PY-01539679,2023-12-13,76.94,ACH_20231213.csv
PY-01539680,2024-01-29,76.94,ACH_20240129.csv
PY-01539681,2023-12-13,76.94,ACH_20231213.csv
PY-01539682,2023-12-13,104.81,ACH_20231213.csv
PY-01539683,2023-12-13,104.81,ACH_20231213.csv
PY-01539684,2023-12-13,88.09,ACH_20231213.csv
PY-01539685,2023-12-13,88.09,ACH_20231213.csv
PY-01539686,2024-01-29,115.96,ACH_20240129.csv
PY-01539687,2023-12-13,104.81,ACH_20231213.csv
PY-01539688,2023-12-13,104.81,ACH_20231213.csv
PY-01539689,2024-01-29,115.96,ACH_20240129.csv
PY-01539690,2023-12-13,115.96,ACH_20231213.csv
PY-01539691,2023-12-13,104.81,ACH_20231213.csv
PY-01539692,2023-12-13,104.81,ACH_20231213.csv
PY-01539693,2023-12-13,115.96,ACH_20231213.csv
PY-01539928,2023-12-14,83.61,ACH_20231214.csv
PY-01539929,2023-12-14,83.61,ACH_20231214.csv
PY-01539930,2023-12-14,65.79,ACH_20231214.csv
PY-01539931,2023-12-14,94.76,ACH_20231214.csv
PY-01539932,2023-12-14,99.99,ACH_20231214.csv
PY-01539933,2023-12-14,76.94,ACH_20231214.csv
PY-01539934,2023-12-14,83.63,ACH_20231214.csv
PY-01539935,2023-12-14,65.79,ACH_20231214.csv
PY-01539936,2023-12-14,76.94,ACH_20231214.csv
PY-01539937,2023-12-14,83.63,ACH_20231214.csv
PY-01539938,2023-12-14,88.09,ACH_20231214.csv
PY-01539939,2023-12-14,88.09,ACH_20231214.csv
PY-01539940,2023-12-14,99.24,ACH_20231214.csv
PY-01539941,2024-01-29,76.94,ACH_20240129.csv
PY-01539942,2023-12-14,83.63,ACH_20231214.csv
PY-01539943,2023-12-14,76.94,ACH_20231214.csv
PY-01539944,2023-12-14,88.09,ACH_20231214.csv
PY-01539945,2023-12-14,83.63,ACH_20231214.csv
PY-01539946,2023-12-14,76.94,ACH_20231214.csv
PY-01539947,2023-12-14,88.09,ACH_20231214.csv
PY-01539948,2023-12-14,88.09,ACH_20231214.csv
PY-01539949,2023-12-14,88.09,ACH_20231214.csv
PY-01539950,2023-12-14,88.09,ACH_20231214.csv
PY-01539951,2023-12-14,88.09,ACH_20231214.csv
PY-01539952,2023-12-14,76.94,ACH_20231214.csv
PY-01539953,2024-02-08,88.09,ACH_20240208.csv
PY-01539954,2023-12-14,54.64,ACH_20231214.csv
PY-01539955,2023-12-14,54.64,ACH_20231214.csv
