ContractNumber;Status;Invoice;Invoice Status;Subscription;Subscription Status;Payment (Asociados al Invoice);Payment Status
00317344;Cancelled;2888;PAID;AzyuNDVImcnvL8Uz;CANCELLED;1;REJECTED x1
00315294;Cancelled;1601;PAID;AzZUQsVKlQAZI2VVj;CANCELLED;10;REJECTED x10
00314510;Cancelled;1188;PAID;AzZPPPVKlKGGI2T2I;CANCELLED;8;REJECTED x8
00314510;Cancelled;1542;PAID;AzZPPPVKlKGGI2T2I;CANCELLED;8;REJECTED x8
00314510;Cancelled;1840;PAID;AzZPPPVKlKGGI2T2I;CANCELLED;8;REJECTED x8
00317692;Cancelled;3099;PAID;AzZS9IVMiKVB15S7;CANCELLED;1;REJECTED x1
00311514;Cancelled;1181;PAID;Azywp7VKlFrkV2FtI;CANCELLED;12;REJECTED x12
00311514;Cancelled;1491;PAID;Azywp7VKlFrkV2FtI;CANCELLED;10;REJECTED x10
00311514;Cancelled;1825;PAID;Azywp7VKlFrkV2FtI;CANCELLED;6;REJECTED x6
00316649;Cancelled;1456;PAID;16CL3aVKljlQR2ffw;CANCELLED;8;REJECTED x8
00317272;Cancelled;1768;PAID;16BbOAVKlgE6A2e3j;CANCELLED;5;REJECTED x5
00317272;Cancelled;1927;PAID;16BbOAVKlgE6A2e3j;CANCELLED;1;REJECTED x1
00317375;Cancelled;1970;PAID;AzZX0FVJ2xHRn6V4;CANCELLED;4;REJECTED x4
00314717;Cancelled;2918;PAID;AzqJxzVKlLFSh2Io3;CANCELLED;3;REJECTED x3
00316745;Cancelled;2069;PAID;16CXAFVCNFzuq8sS;CANCELLED;3;REJECTED x3
00316745;Cancelled;2091;PAID;16CXAFVCNFzuq8sS;CANCELLED;3;REJECTED x3
00317289;Cancelled;1987;PAID;AzqM5MVIHbrFb7Qa;CANCELLED;1;REJECTED x1
00317289;Cancelled;2084;PAID;AzqM5MVIHbrFb7Qa;CANCELLED;1;REJECTED x1
00317310;Cancelled;2157;PAID;6olyEVIPG8o7PHS;CANCELLED;5;REJECTED x5
00317310;Cancelled;2176;PAID;6olyEVIPG8o7PHS;CANCELLED;5;REJECTED x5
